date,game_id,player_team,home_team,away_team,pts,reb,ast,min,fg_pct,player_name
2024-10-23,0022400072,POR,POR,GSW,16,2,3,33.166666666666664,0.3333333333333333,Jerami Grant
2024-10-23,0022400072,POR,POR,GSW,10,11,2,30.95,0.4166666666666667,Deandre Ayton
2024-10-23,0022400072,POR,POR,GSW,15,7,2,27.483333333333334,0.4,Deni Avdija
2024-10-23,0022400072,POR,POR,GSW,15,2,3,32.61666666666667,0.4166666666666667,Anfernee Simons
2024-10-23,0022400072,POR,POR,GSW,22,4,4,27.9,0.3888888888888889,Scoot Henderson
2024-10-23,0022400072,POR,POR,GSW,1,1,1,9.916666666666666,0.0,Kris Murray
2024-10-23,0022400072,POR,POR,GSW,6,3,0,16.95,0.75,Rayan Rupert
2024-10-23,0022400072,POR,POR,GSW,2,2,0,12.583333333333334,0.5,Donovan Clingan
2024-10-23,0022400072,POR,POR,GSW,3,1,1,8.0,0.25,Dalano Banton
2024-10-23,0022400072,POR,POR,GSW,0,2,0,7.283333333333333,0.0,Jabari Walker
2024-10-23,0022400072,POR,POR,GSW,3,1,1,3.2666666666666666,0.5,Duop Reath
2024-10-23,0022400072,POR,POR,GSW,0,0,0,0.0,0.0,Shaedon Sharpe
2024-10-23,0022400072,POR,POR,GSW,0,0,0,0.0,0.0,Matisse Thybulle
2024-10-23,0022400072,POR,POR,GSW,0,0,0,0.0,0.0,Robert Williams III
2024-10-23,0022400072,GSW,POR,GSW,10,4,1,19.516666666666666,0.3333333333333333,Jonathan Kuminga
2024-10-23,0022400072,GSW,POR,GSW,8,6,3,20.433333333333334,1.0,Draymond Green
2024-10-23,0022400072,GSW,POR,GSW,14,4,2,24.616666666666667,1.0,Trayce Jackson-Davis
2024-10-23,0022400072,GSW,POR,GSW,20,4,2,23.066666666666666,0.5333333333333333,Andrew Wiggins
2024-10-23,0022400072,GSW,POR,GSW,17,9,10,25.066666666666666,0.4,Stephen Curry
2024-10-23,0022400072,GSW,POR,GSW,22,5,1,14.733333333333333,0.6666666666666666,Buddy Hield
2024-10-23,0022400072,GSW,POR,GSW,8,1,3,14.483333333333333,0.75,Gary Payton II
2024-10-23,0022400072,GSW,POR,GSW,0,7,4,24.933333333333334,0.0,Brandin Podziemski
2024-10-23,0022400072,GSW,POR,GSW,2,6,2,14.083333333333334,0.0,Kevon Looney
2024-10-23,0022400072,GSW,POR,GSW,11,2,4,19.1,0.36363636363636365,De'Anthony Melton
2024-10-23,0022400072,GSW,POR,GSW,2,5,3,14.85,0.5,Kyle Anderson
2024-10-23,0022400072,GSW,POR,GSW,15,2,2,14.883333333333333,0.45454545454545453,Moses Moody
2024-10-23,0022400072,GSW,POR,GSW,8,1,0,5.116666666666666,1.0,Lindy Waters III
2024-10-23,0022400072,GSW,POR,GSW,3,1,1,5.116666666666666,1.0,Gui Santos
2023-10-24,0022300061,DEN,DEN,LAL,29,13,11,36.25,0.5454545454545454,Nikola Jokić
2023-10-24,0022300061,DEN,DEN,LAL,20,2,1,36.233333333333334,0.6666666666666666,Kentavious Caldwell-Pope
2023-10-24,0022300061,DEN,DEN,LAL,21,2,6,34.233333333333334,0.6153846153846154,Jamal Murray
2023-10-24,0022300061,DEN,DEN,LAL,8,3,1,24.066666666666666,0.375,Reggie Jackson
2023-10-24,0022300061,DEN,DEN,LAL,3,0,0,10.85,0.3333333333333333,Peyton Watson
2023-10-24,0022300061,DEN,DEN,LAL,4,0,1,11.75,0.3333333333333333,Zeke Nnaji
2023-10-24,0022300061,DEN,DEN,LAL,5,3,2,19.333333333333332,0.4,Christian Braun
2023-10-24,0022300061,DEN,DEN,LAL,0,0,0,0.7333333333333333,0.0,Collin Gillespie
2023-10-24,0022300061,DEN,DEN,LAL,0,0,0,0.7333333333333333,0.0,Braxton Key
2023-10-24,0022300061,DEN,DEN,LAL,2,0,0,0.7333333333333333,1.0,Jalen Pickett
2023-10-24,0022300061,DEN,DEN,LAL,0,0,0,0.0,0.0,Justin Holiday
2023-10-24,0022300061,DEN,DEN,LAL,0,0,0,0.0,0.0,DeAndre Jordan
2023-10-24,0022300061,DEN,DEN,LAL,0,0,0,0.0,0.0,Julian Strawther
2023-10-24,0022300061,LAL,DEN,LAL,18,3,1,29.883333333333333,0.75,Taurean Prince
2023-10-24,0022300061,LAL,DEN,LAL,21,8,5,29.016666666666666,0.625,LeBron James
2023-10-24,0022300061,LAL,DEN,LAL,17,8,4,34.15,0.35294117647058826,Anthony Davis
2023-10-24,0022300061,LAL,DEN,LAL,14,8,4,31.333333333333332,0.36363636363636365,Austin Reaves
2023-10-24,0022300061,LAL,DEN,LAL,6,3,0,14.633333333333333,0.3,Rui Hachimura
2023-10-24,0022300061,LAL,DEN,LAL,6,1,2,22.3,0.375,Gabe Vincent
2023-10-24,0022300061,LAL,DEN,LAL,0,1,0,6.9,0.0,Jaxson Hayes
2023-10-24,0022300061,LAL,DEN,LAL,7,4,0,17.633333333333333,0.5,Cam Reddish
2023-10-24,0022300061,LAL,DEN,LAL,7,4,0,15.466666666666667,0.75,Christian Wood
2023-10-24,0022300061,LAL,DEN,LAL,0,0,0,1.25,0.0,Max Christie
2023-10-24,0022300061,LAL,DEN,LAL,0,0,0,1.25,0.0,Maxwell Lewis
2023-10-24,0022300062,GSW,GSW,PHX,10,1,0,27.283333333333335,0.3333333333333333,Andrew Wiggins
2023-10-24,0022300062,GSW,GSW,PHX,7,11,1,27.966666666666665,0.5,Kevon Looney
2023-10-24,0022300062,GSW,GSW,PHX,14,6,9,34.21666666666667,0.26666666666666666,Chris Paul
2023-10-24,0022300062,GSW,GSW,PHX,27,5,1,30.75,0.4,Stephen Curry
2023-10-24,0022300062,GSW,GSW,PHX,12,6,1,20.133333333333333,0.5,Jonathan Kuminga
2023-10-24,0022300062,GSW,GSW,PHX,1,2,2,21.666666666666668,0.0,Gary Payton II
2023-10-24,0022300062,GSW,GSW,PHX,11,3,0,17.983333333333334,0.6666666666666666,Moses Moody
2023-10-24,0022300062,GSW,GSW,PHX,7,7,1,20.033333333333335,0.2727272727272727,Dario Šarić
2023-10-24,0022300062,GSW,GSW,PHX,0,1,1,3.7,0.0,Cory Joseph
2023-10-24,0022300062,GSW,GSW,PHX,0,0,0,0.0,0.0,Trayce Jackson-Davis
2023-10-24,0022300062,GSW,GSW,PHX,0,0,0,0.0,0.0,Brandin Podziemski
2023-10-24,0022300062,PHX,GSW,PHX,17,5,1,31.633333333333333,0.7777777777777778,Josh Okogie
2023-10-24,0022300062,PHX,GSW,PHX,18,11,3,36.78333333333333,0.3181818181818182,Kevin Durant
2023-10-24,0022300062,PHX,GSW,PHX,14,14,3,27.866666666666667,0.625,Jusuf Nurkić
2023-10-24,0022300062,PHX,GSW,PHX,0,4,2,20.916666666666668,0.0,Grayson Allen
2023-10-24,0022300062,PHX,GSW,PHX,32,6,8,36.96666666666667,0.6190476190476191,Devin Booker
2023-10-24,0022300062,PHX,GSW,PHX,10,4,1,31.65,0.25,Eric Gordon
